,Department,GEO,Role,Percent_Remote,last_evaluation,number_project,average_montly_hours,time_spend_company,left_Company,promotion_last_5years,salary,LinkedIn_Hits,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest),EMP_Sat_Remote_Mean,EMP_Engagement_Mean
0,Operations,US,VP,0.4,0.36,3,168,3,0,0,low,5,1,1,2,1,1841,61,9,2.4,4.2
1,Sales,UK,Senior Director,0.4,0.36,5,159,2,0,0,low,58,2,1,2,1,1990,90,8,2.4,4.2
2,Finance,France,Senior Director,0.4,0.36,2,282,3,0,0,medium,42,1,1,2,2,3193,80,8,2.4,4.2
3,Human Resources,China,Senior Director,0.4,0.36,4,278,4,0,0,high,37,2,1,2,1,3248,77,6,2.4,4.2
4,IT,Korea,Director,0.4,0.36,6,256,5,0,0,low,6,1,1,2,1,3149,80,10,2.4,4.2
5,Warehouse,Colombia,Director,0.4,0.36,4,97,4,0,0,medium,17,2,1,1,1,1204,85,10,2.4,4.2
6,Operations,Australia,Director,0.4,0.36,2,136,3,0,0,high,35,1,1,2,1,1801,70,10,2.4,4.2
7,Sales,Turkey,Director,0.4,0.36,4,128,4,0,0,medium,7,2,2,2,1,1940,86,6,2.4,4.2
8,Finance,Japan,Director,0.4,0.36,3,114,3,0,0,high,3,2,1,2,2,1974,64,7,2.4,4.2
9,Human Resources,UK,Director,0.4,0.36,2,137,4,0,0,medium,4,2,1,2,1,1185,63,8,2.4,4.2
10,IT,China,Senior Manager,0.4,0.36,4,242,3,0,0,low,31,1,1,2,1,2121,80,10,2.4,4.2
11,Warehouse,Korea,Senior Manager,0.4,0.36,4,253,2,0,0,low,3,2,2,2,2,3554,78,9,2.4,4.2
12,Operations,UK,Senior Manager,0.4,0.36,5,269,6,0,0,medium,34,1,2,2,2,3056,76,9,2.4,4.2
13,Sales,Colombia,Senior Manager,0.4,0.36,3,256,6,0,0,medium,44,2,2,2,1,3457,75,10,2.4,4.2
14,Finance,Korea,Senior Manager,0.4,0.36,3,280,4,0,0,low,65,1,1,2,1,2774,76,10,2.4,4.2
15,Human Resources,France,Senior Manager,0.4,0.36,2,132,5,0,0,medium,13,1,1,1,1,1262,63,6,2.4,4.2
16,IT,US,Senior Manager,0.4,0.36,3,167,5,0,0,low,33,2,2,2,1,1544,65,9,2.4,4.2
17,Warehouse,China,Senior Manager,0.4,0.36,6,191,2,0,0,medium,5,2,2,1,1,2908,90,8,2.4,4.2
